	geo_loc_name_country	geo_loc_name_country_continent	geographic_location_.country_and.or_sea.	Sitegroup	Region	Site	Sitegroup1	geographic location depth (cm)	latitude	longitude	Sample_Name	DOC	SUVA254	a320	MAP	MAT	pH
SRR1005847	Canada	North America	Canada: Bylot Island	Bylot Island	Pan-Arctic	BI	Bylot Island	0-2.5	73.15	-79.97	BYL27	11.8			195	-14	6.6
SRR965654	Canada	North America	Canada: Bylot Island	Bylot Island	Pan-Arctic	BI	Bylot Island	0-2.5	73.15	-79.97	BYL1	8.4		13.1	195	-14	8.7
ERR3265536	Greenland	North America	Greenland	Greenland	Pan-Arctic	GI	Greenland	10	67.15	-50.07942	DWP1_Bacteria				228	-6.32	8.4
ERR3265537	Greenland	North America	Greenland	Greenland	Pan-Arctic	GI	Greenland	10	67.15	-50.07942	DWP2_Bacteria				228	-6.32	8.4
ERR3265538	Greenland	North America	Greenland	Greenland	Pan-Arctic	GI	Greenland	10	67.15	-50.07942	DWP3_Bacteria				228	-6.32	8.4
ERR3265554	Greenland	North America	Greenland	Greenland	Pan-Arctic	GI	Greenland	10	67.13	-50.17968	TLM1_Bacteria				237	-5.89	8.4
ERR3265555	Greenland	North America	Greenland	Greenland	Pan-Arctic	GI	Greenland	10	67.13	-50.17968	TLM2_Bacteria				237	-5.89	8.4
ERR3265556	Greenland	North America	Greenland	Greenland	Pan-Arctic	GI	Greenland	10	67.13	-50.17968	TLM3_Bacteria				237	-5.89	8.4
ERR3265557	Greenland	North America	Greenland	Greenland	Pan-Arctic	GI	Greenland	2	67.13	-50.1782	TLU1_Bacteria				237	-5.89	8.3
ERR3265558	Greenland	North America	Greenland	Greenland	Pan-Arctic	GI	Greenland	2	67.13	-50.1782	TLU2_Bacteria				237	-5.89	8.3
ERR3265559	Greenland	North America	Greenland	Greenland	Pan-Arctic	GI	Greenland	2	67.13	-50.1782	TLU3_Bacteria				237	-5.89	8.3
Z1.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z1	QL	0-20	37.76445	100.7974611	Z1.H1	10.85929846	3.757148783	37.5389	411.67	1.33	8.16
Z1.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z1	QL	0-20	37.76445	100.7974611	Z1.H2	12.96129326	5.593577629	65.8658	411.67	1.33	7.64
Z1.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z1	QL	0-20	37.76445	100.7974611	Z1.H3	7.260152689	4.931025769	31.0905	411.67	1.33	7.37
Z1.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z1	QL	0-20	37.76445	100.7974611	Z1.H4	7.83048428	3.971657293	26.9451	411.67	1.33	7.64
Z10.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z10	QZR	0-20	35.35496111	93.35838889	Z10.H1	4.12066475	1.383271959	3.9151	265.63	-2.87	9.19
Z10.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z10	QZR	0-20	35.35496111	93.35838889	Z10.H2	2.935125901	1.601294172	3.2242	265.63	-2.87	8.96
Z10.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z10	QZR	0-20	35.35496111	93.35838889	Z10.H3	4.092483027	2.125848768	7.3696	265.63	-2.87	9.28
Z10.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z10	QZR	0-20	35.35496111	93.35838889	Z10.H4	2.230387289	2.779786287	3.4545	265.63	-2.87	8.76
Z11.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z11	QZR	0-20	35.20536667	93.10117778	Z11.H1	9.412864807	2.358474328	19.1149	292.97	-4.13	8.99
Z11.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z11	QZR	0-20	35.20536667	93.10117778	Z11.H2	25.61862653	0.991466111	22.3391	292.97	-4.13	8.98
Z11.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z11	QZR	0-20	35.20536667	93.10117778	Z11.H3	15.44920412	1.605260686	20.9573	292.97	-4.13	8.97
Z11.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z11	QZR	0-20	35.20536667	93.10117778	Z11.H4	28.24377969	0.509846775	10.8241	292.97	-4.13	8.67
Z12.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z12	QZR	0-20	35.10845278	93.03587778	Z12.H1	13.86660361	1.471160536	9.9029	302.5	-4.43	8.67
Z12.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z12	QZR	0-20	35.10845278	93.03587778	Z12.H2	13.36277893	0.912983749	8.9817	302.5	-4.43	8.07
Z12.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z12	QZR	0-20	35.10845278	93.03587778	Z12.H3	23.06254669	1.140377095	12.4362	302.5	-4.43	8.63
Z12.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z12	QZR	0-20	35.10845278	93.03587778	Z12.H4	42.45509179	0.296784189	4.606	302.5	-4.43	8.82
Z13.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z13	QZR	0-20	34.98304722	92.99610833	Z13.H1	6.696273808	0.612280817	1.1515	303.83	-4.2	9.31
Z13.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z13	QZR	0-20	34.98304722	92.99610833	Z13.H2	5.464979377	0.750231559	2.5333	303.83	-4.2	9.17
Z13.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z13	QZR	0-20	34.98304722	92.99610833	Z13.H3	5.924441675	0.388222237	0.6909	303.83	-4.2	8.94
Z13.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z13	QZR	0-20	34.98304722	92.99610833	Z13.H4	2.032968575	0.541080671	0.4606	303.83	-4.2	9.13
Z14.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z14	QZR	0-20	34.89500556	92.94111389	Z14.H1	14.61880875	0.458313678	2.7636	306.9	-4.03	10.1
